User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000001,P00069042,0,0,10,1,2,0,3,-2.0,-2.0,8370
1000001,P00248942,0,0,10,1,2,0,1,6.0,14.0,15200
1000001,P00087842,0,0,10,1,2,0,12,-2.0,-2.0,1422
1000001,P00085442,0,0,10,1,2,0,12,14.0,-2.0,1057
1000002,P00285442,1,6,16,3,4,0,8,-2.0,-2.0,7969
1000003,P00193542,1,2,15,1,3,0,1,2.0,-2.0,15227
1000004,P00184942,1,4,7,2,2,1,1,8.0,17.0,19215
1000004,P00346142,1,4,7,2,2,1,1,15.0,-2.0,15854
1000004,P0097242,1,4,7,2,2,1,1,16.0,-2.0,15686
1000005,P00274942,1,2,20,1,1,1,8,-2.0,-2.0,7871
1000005,P00251242,1,2,20,1,1,1,5,11.0,-2.0,5254
1000005,P00014542,1,2,20,1,1,1,8,-2.0,-2.0,3957
1000005,P00031342,1,2,20,1,1,1,8,-2.0,-2.0,6073
1000005,P00145042,1,2,20,1,1,1,1,2.0,5.0,15665
1000006,P00231342,0,5,9,1,1,0,5,8.0,14.0,5378
1000006,P00190242,0,5,9,1,1,0,4,5.0,-2.0,2079
1000006,P0096642,0,5,9,1,1,0,2,3.0,4.0,13055
1000006,P00058442,0,5,9,1,1,0,5,14.0,-2.0,8851
1000007,P00036842,1,3,1,2,1,1,1,14.0,16.0,11788
1000008,P00249542,1,2,12,3,4,1,1,5.0,15.0,19614
1000008,P00220442,1,2,12,3,4,1,5,14.0,-2.0,8584
1000008,P00156442,1,2,12,3,4,1,8,-2.0,-2.0,9872
1000008,P00213742,1,2,12,3,4,1,8,-2.0,-2.0,9743
1000008,P00214442,1,2,12,3,4,1,8,-2.0,-2.0,5982
1000008,P00303442,1,2,12,3,4,1,1,8.0,14.0,11927
1000009,P00135742,1,2,17,3,0,0,6,8.0,-2.0,16662
1000009,P00039942,1,2,17,3,0,0,8,-2.0,-2.0,5887
1000009,P00161442,1,2,17,3,0,0,5,14.0,-2.0,6973
1000009,P00078742,1,2,17,3,0,0,5,8.0,14.0,5391
1000010,P00085942,0,3,1,2,4,1,2,4.0,8.0,16352
1000010,P00118742,0,3,1,2,4,1,5,11.0,-2.0,8886
1000010,P00297942,0,3,1,2,4,1,8,-2.0,-2.0,5875
1000010,P00266842,0,3,1,2,4,1,5,-2.0,-2.0,8854
1000010,P00058342,0,3,1,2,4,1,3,4.0,-2.0,10946
1000010,P00032442,0,3,1,2,4,1,5,-2.0,-2.0,5152
1000010,P00105942,0,3,1,2,4,1,5,-2.0,-2.0,7089
1000010,P00182642,0,3,1,2,4,1,2,4.0,9.0,12909
1000010,P00186942,0,3,1,2,4,1,5,12.0,-2.0,8770
1000010,P00155442,0,3,1,2,4,1,1,11.0,15.0,15212
1000010,P00221342,0,3,1,2,4,1,1,2.0,5.0,15705
1000010,P00087242,0,3,1,2,4,1,14,-2.0,-2.0,7947
1000010,P00111142,0,3,1,2,4,1,1,15.0,16.0,18963
1000010,P00259342,0,3,1,2,4,1,5,9.0,-2.0,8718
1000010,P0094542,0,3,1,2,4,1,2,4.0,9.0,16406
1000010,P00148642,0,3,1,2,4,1,6,10.0,13.0,12642
1000010,P00312142,0,3,1,2,4,1,8,-2.0,-2.0,10007
1000010,P00113242,0,3,1,2,4,1,1,6.0,8.0,11562
1000011,P00192642,0,2,1,3,1,0,8,17.0,-2.0,6171
1000011,P00110842,0,2,1,3,1,0,1,2.0,5.0,19327
1000011,P00189642,0,2,1,3,1,0,8,13.0,-2.0,8027
1000012,P00304242,1,2,12,3,2,0,1,6.0,-2.0,15246
1000012,P00365242,1,2,12,3,2,0,5,8.0,-2.0,6865
1000013,P00129542,1,4,1,3,3,1,8,14.0,-2.0,5839
1000013,P00140742,1,4,1,3,3,1,1,15.0,-2.0,15912
1000013,P00182342,1,4,1,3,3,1,1,5.0,6.0,12107
1000014,P00276642,1,3,0,3,0,0,8,11.0,-2.0,5848
1000015,P00334242,1,2,7,1,1,0,1,8.0,-2.0,19653
1000015,P00247542,1,2,7,1,1,0,8,16.0,-2.0,5958
1000015,P00338442,1,2,7,1,1,0,1,16.0,-2.0,11415
1000015,P00275142,1,2,7,1,1,0,5,8.0,-2.0,5380
1000015,P00333042,1,2,7,1,1,0,5,8.0,-2.0,3594
1000015,P00166242,1,2,7,1,1,0,8,-2.0,-2.0,4209
1000015,P00161942,1,2,7,1,1,0,5,8.0,-2.0,5407
1000015,P00348242,1,2,7,1,1,0,8,-2.0,-2.0,7803
1000015,P00042142,1,2,7,1,1,0,1,2.0,6.0,11458
1000016,P00244242,0,3,0,3,0,1,1,2.0,15.0,11755
1000016,P00217742,0,3,0,3,0,1,5,14.0,-2.0,8702
